Country,Year,Fat,Protein,Fruit,Sugar,Veg,Obesity,Continent,ObesityRateCategory
Slovenia,2010,121.8,100.5,108.2,44.2,68.7,57.92,Eastern Europe,Medium
Slovenia,2011,119.4,98.9,107.9,43.1,74.4,58.19,Eastern Europe,Medium
Slovenia,2012,118.9,98.3,93.4,48.1,69.6,58.45,Eastern Europe,Medium
Slovenia,2013,119.5,96.2,101.3,46.6,73.9,58.7,Eastern Europe,Medium
Slovenia,2014,113.6,98.9,111.5,46.3,78.5,58.93,Eastern Europe,Medium
Slovenia,2015,111.6,97.4,111.4,49.4,87.4,59.16,Eastern Europe,Medium
Slovenia,2016,114.6,98.6,106.3,45.6,92.1,59.39,Eastern Europe,Medium
Slovenia,2017,115.4,97.5,101.3,51.2,90.4,59.63,Eastern Europe,Medium
Slovenia,2018,114.4,95.9,128.3,45.0,89.3,59.86,Eastern Europe,Medium
Slovenia,2019,114.4,98.0,104.1,44.7,99.3,60.1,Eastern Europe,Medium
Slovenia,2020,116.6,99.1,109.9,40.7,105.1,60.34,Eastern Europe,Medium
South Africa,2010,90.0,80.4,28.6,45.2,47.9,50.19,Africa,Low
South Africa,2011,88.8,80.2,33.1,44.3,46.8,50.52,Africa,Low
South Africa,2012,91.8,80.5,28.6,44.4,47.6,50.83,Africa,Low
South Africa,2013,91.0,80.5,25.7,42.8,43.0,51.14,Africa,Low
South Africa,2014,86.7,82.2,28.4,42.9,40.0,51.42,Africa,Low
South Africa,2015,86.9,81.6,26.4,41.7,42.9,51.63,Africa,Low
South Africa,2016,88.2,81.4,19.5,42.4,39.5,52.0,Africa,Low
South Africa,2017,88.6,79.7,20.5,40.4,41.0,52.48,Africa,Low
South Africa,2018,87.7,80.4,23.4,39.9,38.4,52.85,Africa,Low
South Africa,2019,91.3,80.7,24.6,39.3,38.0,53.21,Africa,Low
South Africa,2020,93.3,79.1,22.2,40.8,38.4,53.55,Africa,Low
Colombia,2010,77.9,61.2,128.1,58.7,37.4,50.79,South America,Low
Colombia,2011,77.8,62.2,127.4,59.2,38.7,51.72,South America,Low
Colombia,2012,81.1,64.4,162.7,59.7,41.8,52.63,South America,Low
Colombia,2013,81.2,65.1,178.1,61.6,44.1,53.52,South America,Low
Colombia,2014,84.5,68.0,162.2,60.3,43.0,54.39,South America,Low
Colombia,2015,86.2,69.8,178.7,59.2,40.8,55.22,South America,Medium
Colombia,2016,85.6,69.2,176.5,60.8,47.7,56.01,South America,Medium
Colombia,2017,91.0,70.5,106.7,75.5,47.0,56.73,South America,Medium
Colombia,2018,90.4,72.6,129.6,73.8,52.4,57.4,South America,Medium
Colombia,2019,88.3,74.1,144.6,57.5,55.1,58.07,South America,Medium
Colombia,2020,91.3,72.5,134.1,55.4,51.2,58.76,South America,Medium
Costa Rica,2010,87.9,75.6,69.8,56.2,43.3,59.79,North America,Medium
Costa Rica,2011,90.0,74.3,104.8,55.5,41.8,60.57,North America,Medium
Costa Rica,2012,87.5,74.3,123.3,55.5,40.6,61.34,North America,Medium
Costa Rica,2013,90.3,73.8,100.9,54.1,43.2,62.09,North America,Medium
Costa Rica,2014,91.4,76.7,104.6,53.8,46.6,62.81,North America,Medium
Costa Rica,2015,94.3,75.9,123.5,53.3,56.5,63.51,North America,Medium
Costa Rica,2016,97.4,79.4,135.9,56.4,49.5,64.19,North America,Medium
Costa Rica,2017,106.1,80.4,122.9,52.1,55.6,64.84,North America,Medium
Costa Rica,2018,103.5,81.7,122.8,52.5,57.7,65.47,North America,High
Costa Rica,2019,103.9,85.0,87.3,49.8,36.0,66.08,North America,High
Costa Rica,2020,105.6,84.6,80.8,50.5,32.9,66.69,North America,High
Latvia,2010,120.0,96.3,36.2,49.1,101.4,58.75,Eastern Europe,Medium
Latvia,2011,119.9,96.5,39.3,53.8,106.2,59.48,Eastern Europe,Medium
Latvia,2012,118.0,92.1,37.3,57.0,104.4,60.22,Eastern Europe,Medium
Latvia,2013,119.5,91.5,37.5,59.6,108.4,60.97,Eastern Europe,Medium
Latvia,2014,122.5,98.7,44.8,57.2,126.4,61.73,Eastern Europe,Medium
Latvia,2015,125.0,94.9,39.4,52.3,132.6,62.49,Eastern Europe,Medium
Latvia,2016,124.0,103.3,41.8,48.7,133.0,63.27,Eastern Europe,Medium
Latvia,2017,127.5,102.4,48.5,49.2,117.9,64.03,Eastern Europe,Medium
Latvia,2018,128.1,96.1,45.9,58.1,114.5,64.76,Eastern Europe,Medium
Latvia,2019,135.3,97.6,51.8,54.8,89.0,65.43,Eastern Europe,High
Latvia,2020,141.6,96.7,52.0,62.5,101.3,66.06,Eastern Europe,High
Lithuania,2010,97.9,114.4,28.4,85.1,89.6,61.15,Eastern Europe,Medium
Lithuania,2011,98.5,113.4,28.0,89.9,104.8,61.62,Eastern Europe,Medium
Lithuania,2012,92.0,115.5,39.9,89.1,107.5,62.08,Eastern Europe,Medium
Lithuania,2013,92.4,116.8,33.3,90.2,103.4,62.54,Eastern Europe,Medium
Lithuania,2014,95.0,120.4,41.2,92.1,99.4,63.04,Eastern Europe,Medium
Lithuania,2015,97.3,122.2,37.2,91.0,79.9,63.56,Eastern Europe,Medium
Lithuania,2016,97.7,125.2,53.1,92.3,103.2,64.1,Eastern Europe,Medium
Lithuania,2017,101.7,126.9,46.3,92.6,95.4,64.65,Eastern Europe,Medium
Lithuania,2018,104.9,124.7,53.0,94.6,104.7,65.2,Eastern Europe,High
Lithuania,2019,121.9,123.4,42.7,95.1,96.7,65.72,Eastern Europe,High
Lithuania,2020,125.5,127.2,48.5,97.3,88.5,66.22,Eastern Europe,High
Argentina,2010,103.9,100.7,70.1,47.2,67.7,59.08,South America,Medium
Argentina,2011,105.8,99.7,86.8,47.2,65.9,59.9,South America,Medium
Argentina,2012,114.1,100.4,83.5,46.5,67.8,60.74,South America,Medium
Argentina,2013,111.6,103.8,75.7,46.6,66.6,61.58,South America,Medium
Argentina,2014,118.5,101.8,85.7,46.6,68.5,62.44,South America,Medium
Argentina,2015,120.4,106.9,87.9,46.3,69.2,63.3,South America,Medium
Argentina,2016,118.9,104.0,75.2,46.5,69.4,64.17,South America,Medium
Argentina,2017,118.4,105.7,77.3,47.1,71.1,65.04,South America,High
Argentina,2018,121.0,108.5,79.6,45.4,69.7,65.92,South America,High
Argentina,2019,123.9,113.0,81.2,46.5,70.7,66.8,South America,High
Argentina,2020,123.4,114.2,74.1,47.0,71.5,67.66,South America,High
Romania,2010,103.9,104.7,67.0,25.5,176.0,57.39,Eastern Europe,Medium
Romania,2011,102.8,104.0,69.9,25.0,184.6,58.69,Eastern Europe,Medium
Romania,2012,103.1,103.2,68.3,25.9,162.3,59.95,Eastern Europe,Medium
Romania,2013,103.0,102.8,73.3,26.2,178.4,61.2,Eastern Europe,Medium
Romania,2014,116.6,104.7,82.3,27.0,192.5,62.44,Eastern Europe,Medium
Romania,2015,119.8,108.2,84.0,27.9,190.8,63.69,Eastern Europe,Medium
Romania,2016,122.1,109.0,88.6,29.2,180.3,64.93,Eastern Europe,Medium
Romania,2017,123.3,109.1,91.7,29.7,193.8,66.17,Eastern Europe,High
Romania,2018,123.0,109.3,107.6,29.0,207.2,67.39,Eastern Europe,High
Romania,2019,125.7,106.2,113.2,31.0,142.1,68.55,Eastern Europe,High
Romania,2020,129.7,106.2,117.7,29.4,141.6,69.64,Eastern Europe,High
Bulgaria,2010,94.7,80.4,38.3,35.8,72.7,54.29,Eastern Europe,Low
Bulgaria,2011,91.0,80.7,49.7,36.0,68.2,54.74,Eastern Europe,Low
Bulgaria,2012,89.4,81.4,44.6,29.4,60.0,55.18,Eastern Europe,Medium
Bulgaria,2013,89.7,82.1,61.5,39.2,67.7,55.63,Eastern Europe,Medium
Bulgaria,2014,88.2,85.5,41.4,34.1,67.8,56.07,Eastern Europe,Medium
Bulgaria,2015,92.6,81.7,49.7,34.0,76.8,56.5,Eastern Europe,Medium
Bulgaria,2016,92.6,85.1,49.4,34.5,93.1,56.92,Eastern Europe,Medium
Bulgaria,2017,93.4,85.5,53.7,34.5,90.8,57.31,Eastern Europe,Medium
Bulgaria,2018,106.3,83.6,58.6,34.6,96.6,57.69,Eastern Europe,Medium
Bulgaria,2019,115.3,81.1,60.3,37.4,99.1,58.06,Eastern Europe,Medium
Bulgaria,2020,125.8,78.8,59.4,37.7,87.0,58.37,Eastern Europe,Medium
Peru,2010,51.2,76.5,127.2,21.7,67.8,53.13,South America,Low
Peru,2011,53.1,77.7,121.0,21.7,68.4,54.43,South America,Low
Peru,2012,54.9,81.3,125.4,22.0,72.4,55.73,South America,Medium
Peru,2013,56.2,82.0,134.7,22.2,70.6,57.02,South America,Medium
Peru,2014,57.1,84.7,131.0,21.9,70.7,58.3,South America,Medium
Peru,2015,57.2,86.2,130.6,22.6,69.9,59.55,South America,Medium
Peru,2016,58.6,86.3,133.9,22.7,66.4,60.79,South America,Medium
Peru,2017,58.9,87.1,123.0,22.8,67.2,62.02,South America,Medium
Peru,2018,60.1,89.8,123.3,22.7,67.3,63.22,South America,Medium
Peru,2019,65.0,92.2,129.3,22.1,62.9,64.41,South America,Medium
Peru,2020,64.6,91.7,129.9,21.7,57.8,65.6,South America,High
Croatia,2010,104.4,80.7,98.6,53.8,69.2,62.28,Eastern Europe,Medium
Croatia,2011,105.3,81.7,100.2,52.2,71.9,62.99,Eastern Europe,Medium
Croatia,2012,114.0,83.6,87.0,46.9,60.1,63.69,Eastern Europe,Medium
Croatia,2013,118.5,84.4,98.4,43.2,70.4,64.39,Eastern Europe,Medium
Croatia,2014,108.2,84.8,76.9,56.9,62.8,65.09,Eastern Europe,High
Croatia,2015,111.8,87.8,85.5,52.2,76.9,65.78,Eastern Europe,High
Croatia,2016,115.2,89.8,68.5,53.9,263.2,66.46,Eastern Europe,High
Croatia,2017,114.3,90.7,67.5,61.4,255.6,67.13,Eastern Europe,High
Croatia,2018,115.7,92.1,81.0,59.7,301.9,67.8,Eastern Europe,High
Croatia,2019,121.7,94.5,68.7,86.1,287.4,68.46,Eastern Europe,High
Croatia,2020,120.0,94.5,76.1,79.7,349.9,69.11,Eastern Europe,High
